City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Khatanga,RU,71.9667,102.5,-11.2,100,97,5.35,overcast clouds
Synya,RU,65.3718,58.0387,37.71,99,100,7.87,overcast clouds
Chernyshevskiy,RU,63.0128,112.4714,40.17,95,100,11.54,moderate rain
Talnakh,RU,69.4865,88.3972,7.23,81,5,13.73,clear sky
Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,overcast clouds
Puksoozero,RU,62.5903,40.6066,50.11,74,22,11.36,few clouds
Eyl,SO,7.9803,49.8164,83.5,80,46,14.0,scattered clouds
Chapais,CA,49.7834,-74.8492,46.18,38,11,3.83,few clouds
Yellowknife,CA,62.456,-114.3525,37.92,100,100,24.16,mist
Oktyabrskiy,RU,54.4815,53.471,45.88,57,5,3.29,clear sky
Orlik,RU,52.5178,99.825,42.94,64,0,4.68,clear sky
Margate,GB,51.3813,1.3862,55.31,89,5,7.0,clear sky
Upington,ZA,-28.4478,21.2561,59.38,47,0,10.36,clear sky
Pangnirtung,CA,66.1451,-65.7125,15.8,86,75,4.61,broken clouds
Ilulissat,GL,69.2167,-51.1,28.42,59,0,6.91,clear sky
Merauke,ID,-8.4667,140.3333,79.03,89,100,11.5,overcast clouds
Lodja,CD,-3.4833,23.4333,74.79,87,97,1.77,light rain
Rafai,CF,4.95,23.9167,72.95,88,100,4.05,light rain
Pijijiapan,MX,15.7011,-93.23,94.98,46,5,10.0,clear sky
Portland,US,45.5234,-122.6762,54.23,76,100,9.22,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,51.12,66,39,27.67,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,40,9.22,scattered clouds
Ocampo,MX,21.65,-101.5,83.71,13,4,9.64,clear sky
Svetlaya,RU,46.5389,138.3297,41.07,91,100,9.15,overcast clouds
Tabou,CI,4.423,-7.3528,81.75,79,100,8.43,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,73.42,65,0,19.57,clear sky
Waipawa,NZ,-41.4122,175.5153,56.14,74,100,15.35,overcast clouds
Tairua,NZ,-37.0167,175.85,54.66,79,61,4.65,broken clouds
Victoria,HK,22.2855,114.1577,77.05,78,100,5.01,overcast clouds
Coihaique,CL,-45.5752,-72.0662,56.01,88,100,6.91,light rain
Vohibinany,MG,-17.35,49.0333,70.68,99,90,1.95,overcast clouds
Mahebourg,MU,-20.4081,57.7,77.25,83,75,5.75,broken clouds
Hobart,AU,-42.8794,147.3294,53.46,77,100,12.66,overcast clouds
Bontang,ID,0.1333,117.5,78.17,88,100,3.85,overcast clouds
Faanui,PF,-16.4833,-151.75,81.03,77,0,7.7,clear sky
Inhambane,MZ,-23.865,35.3833,71.37,81,0,4.76,clear sky
Lagoa,PT,39.05,-27.9833,60.96,67,52,4.7,broken clouds
Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,8.05,few clouds
Saint Anthony,US,45.0205,-93.218,74.3,30,0,20.71,clear sky
Labuhan,ID,-6.8844,112.2051,79.25,87,72,5.53,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,56.1,85,52,2.93,broken clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,88.12,55,36,4.97,scattered clouds
Mandan,US,46.8267,-100.8896,75.36,62,0,23.02,clear sky
Bardiyah,LY,31.7561,25.0865,65.32,68,92,14.88,overcast clouds
Anloga,GH,5.7947,0.8973,82.13,80,69,10.11,broken clouds
Saskylakh,RU,71.9167,114.0833,0.01,98,15,7.11,few clouds
Vaitape,PF,-16.5167,-151.75,81.01,77,0,7.72,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,52,0,17.27,clear sky
San Quintin,MX,30.4833,-115.95,65.43,71,10,12.24,clear sky
Havoysund,NO,70.9963,24.6622,35.83,98,100,36.22,overcast clouds
Huarmey,PE,-10.0681,-78.1522,71.02,77,14,12.06,few clouds
Ixtapa,MX,20.7,-105.2,81.63,61,0,10.36,clear sky
Fortuna,US,40.5982,-124.1573,54.66,91,100,13.8,overcast clouds
New Philadelphia,US,40.4898,-81.4457,61.92,69,100,11.5,overcast clouds
Bataipora,BR,-22.2953,-53.2711,78.64,43,8,6.44,clear sky
Clyde River,CA,70.4692,-68.5914,19.63,86,100,3.44,overcast clouds
Lakatoro,VU,-16.0999,167.4164,79.21,72,32,18.14,scattered clouds
Cape Town,ZA,-33.9258,18.4232,58.91,74,7,11.01,clear sky
Mandiana,GN,10.6333,-8.6833,85.66,44,80,2.75,light rain
East London,ZA,-33.0153,27.9116,65.03,91,100,15.93,moderate rain
Mataura,NZ,-46.1927,168.8643,57.47,98,100,2.15,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,67,1,16.46,clear sky
Paamiut,GL,61.994,-49.6678,34.2,86,82,13.06,broken clouds
Nikolskoye,RU,59.7035,30.7861,52.72,86,99,3.13,overcast clouds
Avera,US,33.194,-82.5271,71.11,43,72,15.93,broken clouds
Tuatapere,NZ,-46.1333,167.6833,55.62,97,100,0.81,moderate rain
Brae,GB,60.3964,-1.353,45.32,63,98,8.5,overcast clouds
Camana,PE,-16.6228,-72.7111,69.1,76,80,6.22,broken clouds
Albany,US,42.6001,-73.9662,60.46,34,100,3.0,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,16.11,broken clouds
Lebu,CL,-37.6167,-73.65,58.24,74,5,7.99,clear sky
Matehuala,MX,23.65,-100.65,90.18,18,2,3.58,clear sky
Dukat,RU,62.55,155.55,20.89,95,100,3.53,light snow
Pitkyaranta,RU,61.5734,31.4792,44.83,91,100,16.67,light rain
Gat,IL,31.61,34.7642,65.08,71,67,4.52,broken clouds
Kruisfontein,ZA,-34.0033,24.7314,56.88,83,100,4.74,overcast clouds
Poum,NC,-20.2333,164.0167,76.84,70,34,17.69,scattered clouds
Kirakira,SB,-10.4544,161.9205,80.29,84,60,9.46,broken clouds
Hay River,CA,60.8156,-115.7999,33.78,100,100,17.27,light rain
Linhares,BR,-19.3911,-40.0722,76.96,69,10,9.64,clear sky
Nemuro,JP,43.3236,145.575,45.82,99,100,26.51,moderate rain
Daltenganj,IN,24.0333,84.0667,82.83,35,0,4.68,clear sky
Norman Wells,CA,65.282,-126.8329,41.04,60,75,4.61,shower rain
Avarua,CK,-21.2078,-159.775,82.45,78,40,4.61,scattered clouds
Pierre,US,44.3683,-100.351,74.86,52,0,27.63,clear sky
Pevek,RU,69.7008,170.3133,24.46,92,100,5.55,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,32.16,67,94,5.82,overcast clouds
Odweyne,SO,9.4092,45.064,80.53,53,34,15.39,scattered clouds
Jequitinhonha,BR,-16.4339,-41.0033,76.77,85,100,5.03,overcast clouds
Terney,RU,45.0503,136.6092,40.57,77,96,8.68,overcast clouds
Lompoc,US,34.6391,-120.4579,77.68,64,0,18.41,clear sky
Bahar,IR,34.9072,48.4414,53.76,24,0,6.91,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,90,96,1.34,overcast clouds
Cosamaloapan,MX,18.3667,-95.8,106.11,23,100,4.29,overcast clouds
Kirkland Lake,CA,48.1446,-80.0377,52.09,24,79,5.23,broken clouds
Planadas,CO,3.197,-75.6451,66.63,82,89,3.09,overcast clouds
Broken Hill,AU,-31.95,141.4333,49.08,71,0,7.09,clear sky
San Andres,CO,12.5847,-81.7006,86.02,74,40,5.75,scattered clouds
Vao,NC,-22.6667,167.4833,74.1,62,77,19.3,broken clouds
Saldanha,ZA,-33.0117,17.9442,59.04,69,0,22.79,clear sky
Lazaro Cardenas,MX,17.9583,-102.2,84.11,58,100,11.5,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,61.09,78,20,4.61,few clouds
Vega De Alatorre,MX,20.0333,-96.6333,88.23,64,14,10.89,few clouds
Manaure,CO,11.7751,-72.4445,87.75,57,100,15.17,overcast clouds
Faya,SA,18.3851,42.4509,66.31,41,84,4.63,broken clouds
Coquimbo,CL,-29.9533,-71.3436,58.73,77,100,3.44,overcast clouds
Mandera,KE,3.9366,41.867,84.83,59,100,13.22,overcast clouds
West Odessa,US,31.8424,-102.4988,102.47,4,0,11.5,clear sky
Sayyan,YE,15.1718,44.3244,68.54,38,58,2.08,broken clouds
Belawan,ID,3.7755,98.6832,77.29,82,100,4.03,light rain
Vardo,NO,70.3705,31.1107,37.22,76,13,29.19,few clouds
Hamilton,US,39.1834,-84.5333,60.6,76,100,18.41,overcast clouds
Novaya Bryan,RU,51.7159,108.2691,42.42,79,7,4.79,clear sky
Healdsburg,US,38.6105,-122.8692,70.11,50,20,16.11,few clouds
Usta Muhammad,PK,28.1794,68.0445,94.46,19,1,9.1,clear sky
Diamantino,BR,-14.4086,-56.4461,85.42,35,0,7.47,clear sky
Olga,RU,43.7444,135.2892,43.95,58,2,11.48,clear sky
Clarence Town,AU,-32.5833,151.7833,51.85,76,7,4.61,clear sky
Souillac,MU,-20.5167,57.5167,75.58,83,75,5.75,broken clouds
Borogontsy,RU,62.6683,131.1683,27.86,93,100,2.8,overcast clouds
Yakeshi,CN,49.2833,120.7333,40.87,28,0,5.06,clear sky
Leningradskiy,RU,69.3833,178.4167,22.46,93,98,2.26,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,50.9,68,78,6.76,broken clouds
Texarkana,US,33.4251,-94.0477,83.14,56,0,8.99,clear sky
Shenzhen,CN,22.5455,114.0683,77.27,86,100,2.51,overcast clouds
Nabire,ID,-3.3667,135.4833,75.9,96,100,3.0,overcast clouds
Sadiqabad,PK,28.3062,70.1307,95.59,21,0,16.49,clear sky
Sitka,US,57.0531,-135.33,46.29,71,40,5.75,scattered clouds
Matane,CA,48.8286,-67.522,38.71,52,4,3.76,clear sky
Flagstaff,US,35.1981,-111.6513,76.66,18,0,18.41,clear sky
High Level,CA,58.5169,-117.136,37.51,93,100,11.5,light rain
Mount Isa,AU,-20.7333,139.5,60.57,44,0,5.75,clear sky
Camacha,PT,33.0833,-16.3333,60.22,77,20,10.36,few clouds
Zhangye,CN,38.9342,100.4517,58.91,27,100,3.27,light rain
Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,83,20,13.8,few clouds
College,US,64.8569,-147.8028,46.2,91,75,1.01,broken clouds
Butembo,CD,0.15,29.2833,58.48,91,95,3.94,overcast clouds
Gamba,GA,-2.65,10.0,77.32,85,48,2.21,scattered clouds
Eureka,US,40.8021,-124.1637,54.93,69,43,8.01,scattered clouds
Dongsheng,CN,39.8161,109.9776,46.4,88,100,8.48,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,40.59,70,100,20.71,light rain
Gibara,CU,21.1097,-76.1317,90.72,56,81,6.67,broken clouds
Corn Island,NI,12.1694,-83.0418,82.35,78,98,8.93,overcast clouds
Socol,RO,44.8608,21.3703,64.49,46,100,11.56,light rain
Inuvik,CA,68.3499,-133.7218,40.06,52,20,8.05,few clouds
Krasnogvardeyets,RU,52.6804,52.3635,46.31,47,100,4.68,overcast clouds
Kuusamo,FI,65.9667,29.1833,39.24,75,0,8.05,clear sky
Noumea,NC,-22.2763,166.4572,75.0,99,97,9.37,overcast clouds
Alberton,CA,46.8168,-64.0654,39.33,50,2,9.73,clear sky
Cayenne,GF,4.9333,-52.3333,83.08,1,100,11.5,light rain
Vallenar,CL,-28.5708,-70.7581,72.16,47,100,7.11,overcast clouds
Banda Aceh,ID,5.5577,95.3222,79.74,81,100,9.28,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,73.08,78,0,5.75,clear sky
Airai,TL,-8.9266,125.4092,60.69,96,58,4.5,broken clouds
Fenoarivo,MG,-18.933,47.4354,64.47,94,75,8.05,broken clouds
Meulaboh,ID,4.1363,96.1285,76.71,91,100,6.44,light rain
Provideniya,RU,64.3833,-173.3,31.75,90,100,7.4,overcast clouds
Mangrol,IN,21.1167,70.1167,81.93,74,0,15.03,clear sky
Kununurra,AU,-15.7667,128.7333,71.58,37,0,6.91,clear sky
Caarapo,BR,-22.6342,-54.8222,76.24,46,6,5.95,clear sky
San Juan,AR,-31.5375,-68.5364,79.92,17,100,9.31,overcast clouds
Keetmanshoop,NA,-26.5833,18.1333,52.72,46,0,13.8,clear sky
Chaihe,CN,44.7667,129.7,36.16,88,99,1.43,overcast clouds
Gosainganj,IN,26.5833,82.3833,88.27,27,0,3.27,clear sky
Bubaque,GW,11.2833,-15.8333,77.7,76,4,16.46,clear sky
Tonj,SS,7.2737,28.6822,78.53,75,100,1.25,light rain
Ilo,PE,-17.6394,-71.3375,67.06,77,100,8.05,overcast clouds
Parker,US,32.7668,-97.8003,90.0,65,0,12.68,clear sky
Hithadhoo,MV,-0.6,73.0833,84.11,77,13,15.9,few clouds
Hualmay,PE,-11.0964,-77.6139,70.83,74,29,13.22,scattered clouds
San Luis Jilotepeque,GT,14.65,-89.7333,97.23,42,25,4.63,scattered clouds
Maraa,BR,-1.8333,-65.3667,79.45,91,100,3.31,overcast clouds
Bismarck,US,46.8083,-100.7837,75.65,61,0,23.02,clear sky
Puro,PH,12.4841,123.3827,81.12,80,11,10.07,few clouds
Luderitz,NA,-26.6481,15.1594,58.14,68,0,22.93,clear sky
Axim,GH,4.8699,-2.2405,81.25,80,100,6.22,overcast clouds
Grindavik,IS,63.8424,-22.4338,46.87,76,75,24.16,broken clouds
Wad Rawah,SD,15.1603,33.1397,96.42,6,35,16.46,scattered clouds
Jiuquan,CN,39.7432,98.5174,56.93,28,100,6.04,overcast clouds
Zaltan,LY,32.947,11.8665,67.33,50,1,6.08,clear sky
Aguas Formosas,BR,-17.0822,-40.9358,72.23,89,92,3.47,overcast clouds
Taoudenni,ML,22.6783,-3.9836,93.22,9,0,9.86,clear sky
Lata,PT,40.1629,-8.3327,66.29,56,100,3.53,overcast clouds
Xining,CN,36.6167,101.7667,55.33,50,100,9.71,overcast clouds
Wajima,JP,37.4,136.9,52.79,59,17,8.41,few clouds
Iskateley,RU,67.6803,53.1512,36.68,100,100,12.82,overcast clouds
Pokhara,NP,28.2333,83.9833,68.43,70,98,5.39,overcast clouds
Khani,GE,41.9563,42.9566,44.17,98,100,2.82,overcast clouds
Nishihara,JP,26.1842,127.7558,74.48,94,75,12.66,mist
Aykhal,RU,66.0,111.5,32.25,98,100,8.81,overcast clouds
Biak,ID,-0.9131,122.8766,77.22,87,92,3.33,overcast clouds
Beringovskiy,RU,63.05,179.3167,30.76,88,99,6.29,overcast clouds
Brownwood,US,31.7093,-98.9912,105.8,18,0,14.27,clear sky
Marsa Matruh,EG,31.3525,27.2453,66.51,63,100,11.86,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,66.13,68,13,7.27,few clouds
Te Anau,NZ,-45.4167,167.7167,56.08,98,100,2.68,moderate rain
Mukhen,RU,48.1,136.1,40.06,89,100,7.85,overcast clouds
Constitucion,CL,-35.3333,-72.4167,63.75,57,0,8.97,clear sky
Deputatskiy,RU,69.3,139.9,-1.57,98,51,6.06,broken clouds
Santa Maria,BR,-29.6842,-53.8069,67.37,66,0,5.59,clear sky
Slave Lake,CA,55.2834,-114.769,40.98,81,100,16.11,overcast clouds
Bay Roberts,CA,47.5999,-53.2648,43.66,60,100,8.99,overcast clouds
Shemysheyka,RU,52.892,45.3928,43.93,56,0,6.6,clear sky
Chuy,UY,-33.6971,-53.4616,69.93,57,16,4.5,few clouds
Butler,US,39.4501,-84.5666,60.67,74,100,14.97,overcast clouds
Nagua,DO,19.3832,-69.8474,89.91,62,40,11.5,scattered clouds
Kieta,PG,-6.2167,155.6333,78.57,84,75,0.56,broken clouds
Promyshlennyy,RU,67.5833,63.9167,31.84,98,100,9.62,overcast clouds
Rawlins,US,41.7911,-107.2387,49.89,46,100,28.77,overcast clouds
Cuicatlan,MX,17.8,-96.9667,101.19,18,77,3.18,broken clouds
Riviere-Au-Renard,CA,48.9957,-64.3971,46.69,53,0,16.55,clear sky
Bathsheba,BB,13.2167,-59.5167,84.81,70,40,11.5,scattered clouds
Shimoda,JP,34.6667,138.95,62.1,93,61,7.34,broken clouds
Alice Springs,AU,-23.7,133.8833,35.15,69,0,0.0,clear sky
Oriximina,BR,-1.7656,-55.8661,84.96,73,26,2.98,scattered clouds
Kahului,US,20.8947,-156.47,77.02,74,40,16.11,scattered clouds
Pisco,PE,-13.7,-76.2167,68.05,83,0,14.97,clear sky
Le Port,RE,-20.9373,55.2919,73.4,76,5,9.71,clear sky
Half Moon Bay,US,37.4636,-122.4286,69.89,63,20,25.32,few clouds
Lasa,IT,46.6166,10.7002,54.48,95,100,4.25,overcast clouds
Karratha,AU,-20.7377,116.8463,75.56,67,57,7.52,broken clouds
Banjar,ID,-8.19,114.9675,78.39,91,74,3.44,broken clouds
The Valley,AI,18.217,-63.0578,84.06,65,40,16.11,scattered clouds
San Cristobal,VE,7.7669,-72.225,77.18,78,82,5.66,broken clouds
Atar,MR,20.5169,-13.0499,99.66,9,5,10.11,clear sky
Tahta,EG,26.7693,31.5021,80.56,11,16,9.62,few clouds
Mount Gambier,AU,-37.8333,140.7667,50.22,86,84,4.79,broken clouds
Malakal,SS,9.5334,31.6605,87.93,48,35,3.4,scattered clouds
Chalchihuites,MX,23.4833,-103.8833,83.84,10,0,15.52,clear sky
Hurup,DK,56.7494,8.4195,46.6,3,6,26.66,clear sky
Sandnessjoen,NO,66.0217,12.6316,34.65,90,100,3.0,overcast clouds
Liling,CN,27.6667,113.5,69.21,95,100,3.13,overcast clouds
Hovd,MN,48.0056,91.6419,60.82,29,100,7.9,overcast clouds
Alpena,US,45.0617,-83.4327,55.72,40,0,6.91,clear sky
Caravelas,BR,-17.7125,-39.2481,75.31,88,86,12.93,overcast clouds
Mizan Teferi,ET,6.9833,35.5833,62.17,94,39,2.68,scattered clouds
Mocuba,MZ,-16.8392,36.9856,66.78,97,7,2.62,clear sky
Mukerian,IN,31.9506,75.6158,84.79,22,0,5.35,clear sky
Longyearbyen,SJ,78.2186,15.6401,13.84,62,75,8.05,broken clouds
Torbay,CA,47.6666,-52.7314,42.89,61,75,19.57,broken clouds
Saint George,US,37.1041,-113.5841,88.79,16,0,20.71,clear sky
San Miguel,SV,13.4833,-88.1833,92.86,59,20,11.5,few clouds
San Antonio,US,29.4241,-98.4936,100.53,45,0,10.36,clear sky
Nantucket,US,41.2835,-70.0995,51.91,81,100,26.46,overcast clouds
San Joaquin,US,37.9333,-121.3011,69.87,43,0,14.97,clear sky
Nabinagar,BD,23.8917,90.9733,80.37,67,0,4.61,clear sky
Adrar,MR,20.5022,-10.0711,93.76,13,12,5.64,few clouds
Naze,JP,28.3667,129.4833,70.72,83,100,5.46,overcast clouds
Itinga,BR,-16.6131,-41.7653,80.1,63,82,8.95,broken clouds
Taksimo,RU,56.3444,114.8794,40.57,56,100,0.83,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,39.11,90,100,3.24,overcast clouds
Sibolga,ID,1.7427,98.7792,76.03,89,100,0.83,light rain
San Vicente,AR,-26.6167,-54.1333,72.27,42,100,1.61,overcast clouds
Izhma,RU,65.0083,53.9113,39.7,94,79,7.47,broken clouds
Guozhen,CN,34.3659,107.359,57.81,76,38,2.93,scattered clouds
Skibbereen,IE,51.55,-9.2667,55.11,84,100,4.81,overcast clouds
Lavrentiya,RU,65.5833,-171.0,26.01,96,72,6.2,broken clouds
Salamiyah,SY,35.0113,37.0532,57.02,66,1,11.54,clear sky
Lakes Entrance,AU,-37.8811,147.981,55.17,72,100,16.15,overcast clouds
Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,0,16.11,clear sky
Lahij,YE,13.1667,44.5833,82.9,57,23,4.97,few clouds
Amarpur,IN,25.0333,86.9,84.6,49,1,6.42,clear sky
Tilichiki,RU,60.4667,166.1,31.05,98,100,4.23,overcast clouds
Buala,SB,-8.145,159.5921,80.11,84,86,6.85,light rain
Mogadishu,SO,2.0371,45.3438,82.38,80,82,16.78,broken clouds
Ambilobe,MG,-13.2,49.05,73.76,86,28,4.97,scattered clouds
Sambava,MG,-14.2667,50.1667,76.19,85,19,6.31,light rain
Port Hedland,AU,-20.3167,118.5667,68.05,68,19,5.75,few clouds
Rockland,US,41.1668,-74.0496,52.9,86,100,3.0,light rain
Beloha,MG,-25.1667,45.05,68.9,89,2,3.6,light rain
Rumoi,JP,43.9344,141.6428,44.74,86,75,16.37,light rain
Tiksi,RU,71.6872,128.8694,4.78,97,13,7.36,few clouds
Tamandare,BR,-8.7597,-35.1047,79.7,80,92,5.1,overcast clouds
Hasaki,JP,35.7333,140.8333,61.29,91,19,7.7,few clouds
Umm Lajj,SA,25.0213,37.2685,77.09,50,0,11.18,clear sky
Cidreira,BR,-30.1811,-50.2056,66.78,64,0,6.02,clear sky
Ayorou,NE,14.7308,0.9174,98.31,14,100,5.55,overcast clouds
Chippewa Falls,US,44.9369,-91.3929,72.37,25,0,13.8,clear sky
Narasannapeta,IN,18.4167,84.05,81.5,81,17,3.24,few clouds
Muli,MV,2.9167,73.5667,83.91,78,100,13.71,overcast clouds
San Ramon,US,37.7799,-121.978,69.75,59,75,16.11,broken clouds
Husavik,IS,66.0449,-17.3389,41.9,70,100,2.93,overcast clouds
Svitavy,CZ,49.7559,16.4683,56.89,89,100,0.2,overcast clouds
Kamarion,GR,36.8,25.8167,60.1,80,100,18.84,overcast clouds
Kailua,US,21.4022,-157.7394,77.02,75,75,9.22,broken clouds
Nioro,GM,13.35,-15.75,103.8,12,4,5.17,clear sky
Ketchikan,US,55.3422,-131.6461,48.67,61,75,11.5,broken clouds
Okhotsk,RU,59.3833,143.3,31.64,80,18,8.05,few clouds
Coahuayana,MX,18.7333,-103.6833,90.3,44,55,9.13,broken clouds
Beinamar,TD,8.6698,15.3813,87.48,47,100,3.69,overcast clouds
Tuy Hoa,VN,13.0833,109.3,77.11,91,93,3.13,overcast clouds
Cherskiy,RU,68.75,161.3,28.08,95,100,2.62,overcast clouds
Namibe,AO,-15.1961,12.1522,72.77,72,1,6.89,clear sky
Takaungu,KE,-3.6837,39.8566,79.88,83,34,16.46,scattered clouds
Pasni,PK,25.2631,63.471,81.3,80,0,12.35,clear sky
Aswan,EG,24.0934,32.907,85.3,7,0,8.05,clear sky
Torres,BR,-29.3353,-49.7269,68.83,66,0,7.09,clear sky
Benjamin Aceval,PY,-24.9667,-57.5667,78.94,34,17,3.98,few clouds
Balakliya,UA,49.4627,36.8595,48.78,58,7,6.08,clear sky
Rio Grande,BR,-32.035,-52.0986,75.31,62,0,6.71,clear sky
Casper,US,42.8666,-106.3131,65.71,29,20,19.57,few clouds
Totness,SR,5.8833,-56.3167,79.54,86,92,8.16,moderate rain
Nome,US,64.5011,-165.4064,32.16,93,100,14.97,mist
Nanortalik,GL,60.1432,-45.2371,39.79,74,100,5.53,overcast clouds
Parabel,RU,58.6978,81.4825,26.11,72,100,15.03,overcast clouds
Lavumisa,SZ,-27.31,31.892,64.47,89,0,3.04,clear sky
Rawson,AR,-43.3002,-65.1023,77.49,29,26,12.93,scattered clouds
Ocean City,US,39.2776,-74.5746,50.25,91,100,20.0,moderate rain
Nuzvid,IN,16.7833,80.85,85.73,57,86,7.92,overcast clouds
Port Hardy,CA,50.6996,-127.4199,50.18,62,75,11.5,broken clouds
Prince Rupert,CA,54.3161,-130.3201,47.89,74,75,14.97,broken clouds
Pingliang,CN,35.5392,106.6861,60.26,76,93,2.91,overcast clouds
Machilipatnam,IN,16.1667,81.1333,84.56,77,89,11.25,overcast clouds
Mamallapuram,IN,12.6264,80.1722,87.85,79,69,5.26,broken clouds
Sola,VU,-13.8833,167.55,81.48,71,3,19.3,clear sky
Geraldton,AU,-28.7667,114.6,55.81,88,100,8.05,overcast clouds
Alibag,IN,18.6411,72.8792,86.07,75,5,8.46,clear sky
Tombouctou,ML,20.0,-3.0,92.46,9,0,11.77,clear sky
